002_place,003_event,004_active,005_open_now,006_open_time,007_close_time,008_maximum_visit_duration,009_minimum_visit_duration,010_travel_time,011_travel_distance,012_travel_mode,013_rainfall,014_sunset,015_weather_score,016_weather_dependent,017_suitable_for_weather_score,018_average_social_rating,019_number_reviews,020_suitable_for_children,021_suitable_for_groups,022_suitable_for_vision_impaired,023_suitable_for_bicycles,024_suitable_for_wheelchair,025_eat,026_see,027_do,028_popularity_now,029_popularity_avg_current_day,030_popularity_avg_current_hour,031_better_when,032_elevation,033_bicycle_duration,034_bicycle_distance,035_operated_by
1,0,1,1.0,1502143200.0,1502186400.0,7.71,2.0,3617.0,4039.0,0.0,0,1502178740,1,0.66,0.78,4.6,15,1,1,1,1,1,0.333333333333,0.333333333333,0.333333333333,,,,2.0,134.397003174,1524.0,4032.0,2.0
1,0,1,1.0,1502146800.0,1502175600.0,4.71,1.0,187.0,229.0,0.0,0,1502178740,1,0.01,0.49,5.0,2,1,0,1,0,1,0.0,0.0,1.0,,,,2.0,16.691160202,96.0,229.0,0.0
1,0,1,1.0,1502146800.0,1502172000.0,3.71,2.0,857.0,1149.0,0.0,0,1502178740,1,0.03,0.5,4.5,4,0,1,1,0,1,1.0,0.0,0.0,,,,0.0,7.7212023735,295.0,1142.0,0.0
1,0,1,1.0,1502146800.0,1502175600.0,4.71,1.0,831.0,1084.0,0.0,0,1502178740,1,0.03,0.65,4.0,14,0,1,1,0,1,0.333333333333,0.666666666667,0.0,,,,0.0,40.6452674866,270.0,1077.0,0.0
1,0,1,1.0,1502150400.0,1502179200.0,5.71,1.0,619.0,835.0,0.0,0,1502178740,1,0.02,0.0,5.0,14,0,1,0,0,0,0.0,0.0,1.0,,,,2.0,10.1784687042,206.0,874.0,0.0
1,0,1,1.0,1502146800.0,1502168400.0,2.71,1.0,1157.0,1302.0,0.0,0,1502178740,1,0.02,0.0,4.2,15,1,1,1,0,1,1.0,0.0,0.0,0.83,30.2222222222,70.5714285714,2.0,75.1377944946,637.0,1601.0,0.0
1,0,1,1.0,1502155800.0,1502166600.0,2.21,8.0,469.0,607.0,0.0,0,1502178740,1,0.02,0.0,3.7,15,0,1,1,0,1,1.0,0.0,0.0,,,,0.0,19.9926986694,224.0,607.0,0.0
1,0,1,1.0,1502141400.0,1502172000.0,3.71,1.0,230.0,320.0,0.0,0,1502178740,1,0.03,0.0,4.4,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,13.7585268021,51.0,320.0,0.0
1,0,1,1.0,1502136000.0,1502188200.0,8.21,1.0,253.0,321.0,0.0,0,1502178740,1,0.02,0.0,4.3,5,1,1,1,0,1,1.0,0.0,0.0,0.46,28.9444444444,57.1428571429,2.0,16.6123485565,90.0,369.0,0.0
1,0,1,1.0,1502150400.0,1502191800.0,9.21,1.0,623.0,799.0,0.0,0,1502178740,1,0.07,0.0,3.8,5,0,1,1,0,1,1.0,0.0,0.0,0.06,7.61111111111,7.85714285714,2.0,9.94277095795,293.0,794.0,0.0
1,0,1,0.0,,,0.0,1.0,610.0,790.0,0.0,0,1502178740,1,0.04,0.0,3.8,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,11.3373775482,252.0,785.0,0.0
1,0,1,1.0,1502157600.0,1502164800.0,1.71,1.0,454.0,573.0,0.0,0,1502178740,1,0.03,0.0,3.6,15,0,1,1,0,1,1.0,0.0,0.0,0.28,9.44444444444,12.1428571429,2.0,15.6548595428,246.0,573.0,0.0
1,0,1,1.0,1502150400.0,1502175600.0,4.71,1.0,831.0,1084.0,0.0,0,1502178740,1,0.04,0.7,4.15,14,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,38.90026474,270.0,1077.0,0.0
1,0,1,1.0,1502150400.0,1502172000.0,3.71,2.0,908.0,1243.0,0.0,0,1502178740,1,0.03,0.45,4.55,17,1,1,0,0,1,0.0,1.0,0.0,,,,0.0,5.0250954628,292.0,1304.0,2.0
1,0,1,1.0,1502157600.0,1502200800.0,11.71,1.0,111.0,151.0,0.0,0,1502178740,1,0.03,0.0,4.3,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,17.1193466187,27.0,151.0,0.0
1,0,1,1.0,1502155800.0,1502166600.0,2.21,1.0,365.0,479.0,0.0,0,1502178740,1,0.05,0.0,4.0,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,17.6904029846,154.0,479.0,0.0
1,0,1,1.0,1502157600.0,1502188200.0,8.21,1.0,266.0,367.0,0.0,0,1502178740,1,0.02,0.0,4.6,5,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,5.53062820435,103.0,537.0,0.0
1,0,1,0.0,,,0.0,1.0,261.0,340.0,0.0,0,1502178740,1,0.02,0.0,4.25,11,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,13.5376148224,108.0,340.0,0.0
1,0,1,1.0,1502141400.0,1502168400.0,2.71,1.0,465.0,572.0,0.0,0,1502178740,1,0.03,0.0,4.75,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,19.1069374084,225.0,572.0,0.0
1,0,1,1.0,1502150400.0,1502200800.0,11.71,1.0,292.0,405.0,0.0,0,1502178740,1,0.04,0.0,3.75,13,0,1,1,0,1,1.0,0.0,0.0,0.0,8.83333333333,12.2222222222,2.0,13.1993732452,137.0,593.0,0.0
1,0,1,0.0,,,0.0,1.0,709.0,909.0,0.0,0,1502178740,1,0.02,0.0,3.85,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,13.1467237473,333.0,992.0,0.0
1,0,1,1.0,1502143200.0,1502175600.0,4.71,1.0,2103.0,2805.0,0.0,0,1502178740,1,0.02,0.0,4.75,11,0,0,0,0,1,0.0,0.0,1.0,,,,2.0,17.8178787231,607.0,2812.0,0.0
1,0,1,0.0,,,0.0,1.0,577.0,756.0,0.0,0,1502178740,1,0.02,0.0,3.35,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,1.34216356277,188.0,765.0,0.0
1,0,1,1.0,1502139600.0,1502173800.0,4.21,1.0,1318.0,1646.0,0.0,0,1502178740,1,0.04,0.0,4.55,13,0,1,0,0,0,1.0,0.0,0.0,0.64,27.6666666667,63.8571428571,2.0,33.7541885376,565.0,1708.0,0.0
1,0,1,1.0,1502154000.0,1502172000.0,3.71,2.0,988.0,1355.0,0.0,0,1502178740,1,0.11,0.5,2.5,2,1,1,0,1,1,0.0,0.666666666667,0.333333333333,,,,2.0,6.02318239212,285.0,1430.0,0.0
1,0,1,1.0,1502136000.0,1502179200.0,5.71,1.0,1781.0,2133.0,0.0,0,1502178740,1,0.02,0.0,4.75,9,0,1,0,0,1,0.0,0.0,1.0,,,,2.0,70.3408966064,759.0,2177.0,0.0
1,0,1,0.0,,,0.0,1.0,261.0,364.0,0.0,0,1502178740,1,0.03,0.0,3.8,5,0,1,1,0,1,0.666666666667,0.0,0.333333333333,,,,2.0,11.5355167389,54.0,364.0,0.0
1,0,1,1.0,1502150400.0,1502193600.0,9.71,1.0,2084.0,2784.0,0.0,0,1502178740,1,0.03,0.0,3.6,15,0,1,0,0,1,1.0,0.0,0.0,0.11,14.8333333333,21.5714285714,2.0,19.1563930511,603.0,2791.0,0.0
1,0,1,1.0,1502150400.0,1502172000.0,3.71,1.0,342.0,441.0,0.0,0,1502178740,1,0.04,0.0,3.65,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,15.8460588455,133.0,441.0,0.0
1,0,1,1.0,1502154000.0,1502164800.0,1.71,1.0,376.0,498.0,0.0,0,1502178740,1,0.06,0.0,3.85,15,0,1,0,0,1,1.0,0.0,0.0,,,,2.0,12.2268342972,226.0,617.0,0.0
